@RELATION xperia-complete

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {Xperia-C,Xperia-Z,Xperia-Z1}

@DATA
0.188070,0.200518,0.038890,0.205586,0.195489,0.036794,0.037400,0.038680,0.058572,0.199859,0.189056,0.040170,0.198718,0.201814,0.036973,0.036934,0.038215,0.058261,0.191710,0.210212,0.033923,0.216995,0.200224,0.031455,0.029980,0.031905,0.053597,Xperia-Z1
0.143773,0.087303,0.045334,0.170551,0.174546,0.093242,0.081996,0.056713,0.146542,0.183691,0.082847,0.054709,0.163179,0.138090,0.079215,0.100808,0.049378,0.148084,0.206072,0.154217,0.077831,0.168899,0.088421,0.044447,0.089441,0.041144,0.129528,Xperia-C
0.190972,0.158818,0.058873,0.160706,0.189552,0.059914,0.067812,0.066265,0.047087,0.216226,0.136806,0.061788,0.139082,0.214248,0.064153,0.064993,0.063224,0.039479,0.192593,0.183454,0.052664,0.187946,0.191545,0.054821,0.054419,0.053794,0.028764,Xperia-Z
0.154372,0.162133,0.035762,0.166192,0.156056,0.032642,0.035180,0.035692,0.221970,0.168644,0.155148,0.032930,0.161838,0.166021,0.032115,0.030919,0.033232,0.219152,0.146658,0.185804,0.028793,0.191143,0.147605,0.028731,0.027691,0.029197,0.214379,Xperia-Z1
0.221100,0.208124,0.031401,0.217274,0.213277,0.025743,0.027249,0.030454,0.025378,0.215512,0.206844,0.031595,0.212501,0.224686,0.026954,0.026434,0.030299,0.025176,0.199067,0.237600,0.025673,0.242536,0.202761,0.022243,0.022181,0.025619,0.022320,Xperia-Z1
0.194928,0.166760,0.060056,0.172359,0.188228,0.058189,0.063179,0.062681,0.033620,0.216784,0.144004,0.060636,0.147693,0.219223,0.060123,0.060770,0.061632,0.029136,0.189448,0.197561,0.051913,0.199985,0.188377,0.052352,0.051660,0.050136,0.018569,Xperia-Z
0.176343,0.166743,0.062196,0.170088,0.173573,0.061513,0.059200,0.061404,0.068940,0.193464,0.158617,0.064423,0.160193,0.189001,0.059829,0.058362,0.058820,0.057291,0.167535,0.197057,0.056189,0.202366,0.163778,0.053791,0.052805,0.056034,0.050446,Xperia-Z1
0.150829,0.099970,0.039383,0.167333,0.178857,0.075135,0.066841,0.047908,0.173745,0.179477,0.096339,0.045589,0.158953,0.155808,0.067509,0.079313,0.043026,0.173987,0.184468,0.160095,0.062323,0.173490,0.105738,0.040112,0.073046,0.038229,0.162499,Xperia-C
0.106006,0.082378,0.033053,0.134040,0.138535,0.089411,0.066105,0.042639,0.307834,0.133935,0.077915,0.038893,0.128441,0.116841,0.076715,0.082813,0.039231,0.305216,0.144246,0.125670,0.056382,0.137955,0.080517,0.046884,0.085439,0.034607,0.288299,Xperia-C
0.158423,0.165951,0.065254,0.171671,0.167247,0.067093,0.069460,0.070267,0.064633,0.191981,0.126534,0.072929,0.126658,0.196560,0.076647,0.073084,0.070733,0.064873,0.155606,0.186774,0.061645,0.189273,0.165913,0.065417,0.063407,0.062266,0.049701,Xperia-Z1
